Administrative,Product,Information,BounceRate,ExitRate,PageValue,VisitorType,Weekend,Purchase
0,9,4,0.201603,0.533115,157.275,New_Visitor,0,0
5,16,8,0.26453,0.354178,2.91857,New_Visitor,0,1
4,11,5,0.188372,0.487491,16.9173,Returning_Visitor,0,1
1,4,5,0.0442267,0.101629,47.0509,Returning_Visitor,1,1
1,3,2,0.191925,0.900273,42.1118,Returning_Visitor,0,0
3,5,9,0.815469,0.613043,0.890447,Returning_Visitor,0,0
4,7,7,0.0907046,0.425407,3.9036,Returning_Visitor,1,1
1,15,4,0.332643,0.202214,10.7698,Returning_Visitor,0,1
2,5,9,0.504641,0.57581,49.0975,New_Visitor,0,1
1,11,1,0.0401908,0.571228,29.1575,Returning_Visitor,0,0
0,3,0,0.748795,0.474954,52.389,Returning_Visitor,1,0
5,5,5,0.00703617,0.146426,31.808,Returning_Visitor,0,0
3,5,4,0.985762,0.848917,221.122,Returning_Visitor,1,1
5,5,4,0.0848496,0.113581,72.2643,Returning_Visitor,0,1
0,7,1,0.197008,0.606301,151.357,Returning_Visitor,0,1
0,5,6,0.696346,0.0870705,0.715734,Returning_Visitor,0,1
5,9,9,0.265915,0.590227,18.7119,Returning_Visitor,1,0
4,18,6,0.112189,0.414533,138.081,New_Visitor,1,0
1,3,9,0.618516,0.218555,137.59,Returning_Visitor,0,1
5,4,2,0.921285,0.922352,38.3807,Returning_Visitor,1,0
1,3,5,0.636423,0.960512,34.1609,New_Visitor,0,0
2,17,3,0.921334,0.366232,22.7292,New_Visitor,0,0
3,15,5,0.234276,0.0125453,21.2198,Returning_Visitor,0,0
5,20,10,0.784781,0.944662,129.082,Returning_Visitor,0,1
2,14,3,0.991241,0.895956,103.384,Returning_Visitor,1,0
0,10,7,0.773588,0.0824195,137.554,New_Visitor,0,1
3,1,10,0.33738,0.0368234,40.233,Returning_Visitor,0,0
0,7,0,0.204317,0.552457,3.15883,New_Visitor,0,0
1,6,4,0.267267,0.0791503,0.269293,New_Visitor,0,0
3,10,4,0.912216,0.312912,3.56826,New_Visitor,0,0
1,11,0,0.983228,0.515914,66.5501,New_Visitor,0,0
5,16,8,0.97702,0.902993,25.8708,Returning_Visitor,0,0
2,18,8,0.407169,0.870203,143.908,Returning_Visitor,0,0
2,19,2,0.951402,0.282719,25.7944,Returning_Visitor,1,1
4,12,2,0.595493,0.908047,5.50805,Returning_Visitor,1,0
2,0,9,0.638953,0.639344,103.668,Returning_Visitor,0,0
5,7,8,0.452559,0.0238029,127.596,Returning_Visitor,0,0
1,14,8,0.874475,0.102034,46.4004,New_Visitor,0,0
4,6,10,0.469826,0.819539,70.2914,Returning_Visitor,1,0
4,8,4,0.554098,0.733357,10.2351,Returning_Visitor,1,0
0,11,2,0.183196,0.408028,125.842,New_Visitor,1,0
5,14,4,0.466502,0.511586,30.9415,Returning_Visitor,1,0
3,6,9,0.85627,0.327749,102.122,New_Visitor,0,0
1,12,10,0.856033,0.15545,7.39139,Returning_Visitor,0,0
2,0,7,0.226368,0.160105,169.702,Returning_Visitor,0,1
4,5,0,0.336686,0.0796231,35.9373,New_Visitor,0,0
0,16,10,0.789257,0.176135,48.9771,Returning_Visitor,1,0
4,2,1,0.238195,0.940129,32.0219,New_Visitor,0,0
3,2,6,0.318283,0.53154,263.008,New_Visitor,0,0
0,5,6,0.735661,0.363985,83.6134,New_Visitor,0,0
1,20,0,0.42861,0.13902,115.925,Returning_Visitor,1,0
2,20,6,0.773504,0.260167,5.93721,Returning_Visitor,0,0
0,9,5,0.572742,0.161493,43.4418,Returning_Visitor,0,0
3,6,4,0.307953,0.703425,2.34692,Returning_Visitor,0,1
5,10,8,0.830383,0.848389,73.1018,New_Visitor,1,0
1,17,7,0.709382,0.316237,67.7258,Returning_Visitor,0,1
5,10,3,0.777339,0.369309,27.4175,Returning_Visitor,0,0
5,5,0,0.618152,0.939261,6.67532,Returning_Visitor,0,0
5,12,9,0.499456,0.215005,89.7615,New_Visitor,1,0
5,11,0,0.122273,0.810313,128.132,New_Visitor,1,1
2,9,3,0.875158,0.508941,22.3003,New_Visitor,1,0
5,14,5,0.188669,0.768911,18.3716,New_Visitor,0,0
4,19,9,0.935453,0.513256,31.23,Returning_Visitor,0,0
1,8,10,0.365067,0.637995,89.7795,Returning_Visitor,0,1
0,7,2,0.267932,0.368529,225.19,New_Visitor,1,0
4,13,6,0.957648,0.699166,11.6028,Returning_Visitor,0,0
2,13,0,0.69923,0.834357,8.53693,New_Visitor,0,0
1,9,4,0.857582,0.425872,72.1942,Returning_Visitor,0,0
4,5,2,0.341926,0.777779,43.7352,Returning_Visitor,0,0
1,4,6,0.526086,0.532211,9.61091,Returning_Visitor,0,0
4,17,10,0.986403,0.64227,15.3951,Returning_Visitor,1,1
3,10,2,0.33411,0.785469,25.0562,Returning_Visitor,0,0
1,2,8,0.0879859,0.691515,11.8365,Returning_Visitor,0,0
5,4,4,0.712447,0.367849,114.452,Returning_Visitor,0,0
1,8,10,0.498461,0.499554,1.17922,Returning_Visitor,0,0
5,14,0,0.562597,0.619121,34.2536,Returning_Visitor,0,0
2,10,7,0.361179,0.756094,88.7937,Returning_Visitor,0,1
3,12,0,0.740058,0.479171,66.9997,Returning_Visitor,0,1
1,19,4,0.457018,0.91843,19.177,New_Visitor,0,0
1,9,0,0.119068,0.137878,32.1591,Returning_Visitor,0,1
2,17,4,0.394215,0.684967,68.3993,Returning_Visitor,0,0
3,7,1,0.438652,0.550381,91.0221,New_Visitor,1,0
4,3,3,0.418623,0.840375,248.548,New_Visitor,1,0
0,9,4,0.284907,0.639174,16.6816,Returning_Visitor,0,0
1,5,2,0.879194,0.614018,24.8757,Returning_Visitor,0,0
4,1,10,0.539642,0.986121,17.4143,Returning_Visitor,1,0
3,0,1,0.987211,0.355917,93.3613,New_Visitor,0,0
5,11,8,0.950909,0.316972,93.7343,Returning_Visitor,0,0
4,16,0,0.216754,0.535445,21.8404,Returning_Visitor,1,0
2,4,7,0.399811,0.79045,5.50542,Returning_Visitor,1,0
0,4,7,0.051329,0.249988,64.8458,Returning_Visitor,1,1
3,17,8,0.488788,0.0325612,6.96401,Returning_Visitor,0,0
3,12,1,0.628062,0.177909,29.002,New_Visitor,0,0
1,10,9,0.584369,0.183518,6.47959,Returning_Visitor,0,0
4,2,8,0.991192,0.345498,72.8266,New_Visitor,0,0
4,18,6,0.802092,0.773709,8.81374,Returning_Visitor,0,0
4,8,10,0.892964,0.199791,44.5317,New_Visitor,0,0
5,1,9,0.324447,0.698761,3.47989,Returning_Visitor,1,1
2,18,9,0.0262013,0.351531,34.2248,Returning_Visitor,0,1
5,20,0,0.478784,0.838633,14.97,Returning_Visitor,1,1
0,9,4,0.160387,0.17846,3.19438,Returning_Visitor,0,0
2,9,1,0.234757,0.869003,38.8732,Returning_Visitor,0,0
2,20,5,0.613038,0.849428,58.2755,New_Visitor,0,0
3,7,4,0.895074,0.989022,25.6029,Returning_Visitor,0,0
4,18,7,0.999714,0.702046,17.2375,Returning_Visitor,0,0
4,9,1,0.118475,0.739814,31.1981,Returning_Visitor,0,0
5,1,1,0.315687,0.0317208,67.0406,Returning_Visitor,0,1
5,9,1,0.750042,0.321496,30.6243,New_Visitor,0,0
2,16,3,0.270809,0.277393,102.726,Returning_Visitor,0,1
1,11,2,0.77764,0.452709,52.6846,Returning_Visitor,0,0
1,4,1,0.811303,0.568828,230.309,New_Visitor,0,1
0,1,1,0.668763,0.153807,1.34079,New_Visitor,0,0
2,18,8,0.92068,0.555096,12.7316,Returning_Visitor,1,1
3,18,4,0.419821,0.888799,156.281,Returning_Visitor,1,1
2,16,0,0.48602,0.762151,4.72942,New_Visitor,1,0
0,6,5,0.358571,0.297237,38.0013,Returning_Visitor,0,0
4,5,3,0.90857,0.478102,40.1392,Returning_Visitor,0,0
1,19,8,0.900697,0.0359436,19.3965,Returning_Visitor,0,0
1,0,3,0.506463,0.76089,20.4174,Returning_Visitor,0,0
4,16,2,0.477535,0.113996,16.0057,New_Visitor,1,0
0,3,8,0.109901,0.991766,2.93166,Returning_Visitor,0,0
2,11,2,0.177551,0.548316,51.6584,Returning_Visitor,0,1
3,6,3,0.507538,0.0139436,25.9895,Returning_Visitor,0,0
2,12,8,0.463044,0.633825,2.60919,Returning_Visitor,0,0
4,17,2,0.281562,0.647089,70.5587,Returning_Visitor,0,0
3,8,5,0.0588399,0.373218,14.1651,Returning_Visitor,0,0
2,16,4,0.921836,0.991541,131.944,Returning_Visitor,0,0
5,16,2,0.291515,0.738779,67.8995,Returning_Visitor,1,0
2,0,10,0.276501,0.814937,37.834,Returning_Visitor,0,0
5,7,3,0.517669,0.175552,3.39448,Returning_Visitor,0,1
1,15,3,0.544789,0.248592,75.8819,New_Visitor,1,0
4,17,2,0.746622,0.432015,19.5705,New_Visitor,0,0
4,8,7,0.366722,0.502984,15.3336,Returning_Visitor,1,0
5,5,8,0.422866,0.56769,14.552,Returning_Visitor,1,0
4,5,8,0.622804,0.130216,6.48565,Returning_Visitor,0,1
0,19,4,0.0797847,0.824207,8.75569,Returning_Visitor,1,1
2,4,6,0.853249,0.553259,70.6336,New_Visitor,0,0
0,16,7,0.0777588,0.74465,36.3197,Returning_Visitor,0,1
