Depth,Round,Accuracy,Precision,Recall,F1
1,1,0.757,0.583333,0.290566,0.387909
1,2,0.743333,0.533333,0.3,0.384
2,1,0.773,0.715909,0.237736,0.356941
2,2,0.753333,0.59375,0.2375,0.339286
3,1,0.778,0.726316,0.260377,0.383333
3,2,0.736667,0.516129,0.2,0.288288
4,1,0.8,0.768595,0.350943,0.481865
4,2,0.726667,0.473684,0.225,0.305085
5,1,0.807,0.810345,0.354717,0.493438
5,2,0.72,0.444444,0.2,0.275862
6,1,0.831,0.842857,0.445283,0.582716
6,2,0.716667,0.44186,0.2375,0.308943
7,1,0.855,0.9,0.509434,0.650602
7,2,0.696667,0.365854,0.1875,0.247934
8,1,0.88,0.896175,0.618868,0.732143
8,2,0.68,0.351852,0.2375,0.283582
9,1,0.901,0.927835,0.679245,0.784314
9,2,0.676667,0.339623,0.225,0.270677
10,1,0.921,0.930556,0.758491,0.835759
10,2,0.666667,0.327586,0.2375,0.275362
11,1,0.946,0.934156,0.856604,0.893701
11,2,0.653333,0.328571,0.2875,0.306667
12,1,0.966,0.945946,0.924528,0.935115
12,2,0.66,0.351351,0.325,0.337662
13,1,0.979,0.969231,0.950943,0.96
13,2,0.656667,0.346667,0.325,0.335484
14,1,0.988,0.973783,0.981132,0.977444
14,2,0.663333,0.36,0.3375,0.348387
15,1,0.996,1,0.984906,0.992395
15,2,0.666667,0.364865,0.3375,0.350649
