Administrative,Product,Information,BounceRate,ExitRate,PageValue,VisitorType,Weekend,purchase
1,8,2,0.89708,0.326987,24.8815,Returning_Visitor,1,0
0,11,10,0.415849,0.308074,7.12566,Returning_Visitor,0,0
1,12,1,0.361388,0.0741924,6.29269,New_Visitor,1,0
4,0,4,0.752625,0.456409,5.46638,New_Visitor,0,0
1,20,5,0.775934,0.468636,133.47,Returning_Visitor,1,0
4,10,6,0.840915,0.296303,20.893,Returning_Visitor,0,1
5,10,10,0.312571,0.500413,24.1849,Returning_Visitor,0,0
2,4,3,0.619207,0.545439,204.698,Returning_Visitor,0,1
2,18,4,0.599663,0.221524,65.3298,New_Visitor,1,0
0,15,10,0.0633202,0.0263012,91.7484,New_Visitor,1,0
0,3,8,0.953896,0.224376,32.3756,Returning_Visitor,0,0
4,20,8,0.965799,0.749468,30.7804,Returning_Visitor,0,0
3,8,9,0.403754,0.989701,16.8168,Returning_Visitor,0,0
4,14,1,0.253959,0.254617,9.7222,Returning_Visitor,1,0
0,11,6,0.713453,0.699221,14.2638,New_Visitor,1,0
0,3,3,0.864494,0.899427,25.7821,Returning_Visitor,0,0
5,13,7,0.377652,0.0943942,8.61759,Returning_Visitor,0,0
5,6,3,0.118839,0.245802,52.0036,Returning_Visitor,1,0
1,7,10,0.424932,0.552386,27.3443,New_Visitor,0,0
4,12,2,0.781741,0.956024,63.7624,Returning_Visitor,1,0
3,9,5,0.385225,0.344131,3.19805,New_Visitor,1,0
4,4,7,0.527951,0.027109,1.42865,Returning_Visitor,0,1
2,5,6,0.598952,0.792792,23.674,New_Visitor,0,0
5,7,9,0.0474424,0.424818,84.1643,Returning_Visitor,0,0
5,15,1,0.196544,0.911056,22.8217,Returning_Visitor,0,0
4,10,7,0.0214961,0.376286,2.85223,Returning_Visitor,1,0
3,19,3,0.747981,0.360158,188.244,Returning_Visitor,0,0
1,13,10,0.314521,0.73867,137.368,Returning_Visitor,0,1
5,11,1,0.737297,0.989992,135.314,Returning_Visitor,1,1
4,0,10,0.693061,0.433392,18.7972,Returning_Visitor,0,0
0,14,3,0.957481,0.805176,39.1809,Returning_Visitor,0,0
3,6,3,0.468946,0.942755,14.7115,Returning_Visitor,0,0
1,1,10,0.375893,0.152537,5.79811,Returning_Visitor,0,0
1,18,10,0.976331,0.752662,0.182522,Returning_Visitor,0,0
0,14,3,0.18875,0.710924,92.1227,Returning_Visitor,0,0
4,18,1,0.560329,0.442831,8.8524,Returning_Visitor,1,0
1,18,6,0.890611,0.532045,44.8838,Returning_Visitor,0,0
2,5,10,0.734843,0.714566,96.5052,New_Visitor,0,0
2,15,7,0.534123,0.618001,14.7921,Returning_Visitor,0,1
3,0,10,0.459469,0.716595,17.1841,Returning_Visitor,0,0
1,19,1,0.665368,0.680473,16.806,Returning_Visitor,0,0
4,4,7,0.247969,0.81684,65.3056,Returning_Visitor,0,1
4,16,4,0.487157,0.454604,14.7136,Returning_Visitor,1,0
2,11,2,0.500642,0.785912,9.64499,Returning_Visitor,1,0
4,17,1,0.0728555,0.034292,52.3037,New_Visitor,0,0
4,10,5,0.23747,0.41397,13.6824,Returning_Visitor,0,0
0,0,2,0.241407,0.936136,225.23,New_Visitor,0,0
3,20,10,0.427108,0.394885,50.3182,New_Visitor,0,1
1,16,8,0.165814,0.758772,6.24584,Returning_Visitor,0,0
4,7,7,0.980389,0.207095,55.9339,New_Visitor,0,0
5,17,4,0.794098,0.601701,6.8793,New_Visitor,0,0
5,13,10,0.324989,0.468773,62.6404,New_Visitor,0,0
0,14,7,0.965249,0.616251,29.1381,New_Visitor,0,0
4,15,6,0.33528,0.497429,37.0986,New_Visitor,0,0
2,12,10,0.286959,0.00225866,70.372,Returning_Visitor,0,1
4,2,4,0.152947,0.161972,4.03335,New_Visitor,0,0
4,3,5,0.561347,0.835621,12.6301,Returning_Visitor,0,0
5,6,9,0.375085,0.366237,168.182,New_Visitor,0,0
5,3,8,0.491469,0.992172,26.2192,Returning_Visitor,0,0
2,11,1,0.807166,0.191593,91.6325,Returning_Visitor,0,0
1,1,10,0.0794645,0.950561,46.6597,New_Visitor,1,0
4,6,5,0.106076,0.0686433,38.1751,Returning_Visitor,0,1
3,14,0,0.815586,0.241716,28.5172,New_Visitor,0,0
4,10,9,0.625684,0.908617,1.79467,Returning_Visitor,0,0
2,10,6,0.00959973,0.486158,21.4642,New_Visitor,0,1
5,14,2,0.77536,0.770387,92.2114,New_Visitor,1,0
2,14,9,0.315388,0.64697,5.04307,New_Visitor,1,0
4,20,1,0.564267,0.357579,26.0355,Returning_Visitor,0,0
3,17,5,0.201477,0.720351,6.05115,Returning_Visitor,0,0
1,13,5,0.666106,0.736701,54.7879,Returning_Visitor,0,0
1,12,9,0.890169,0.84705,24.117,New_Visitor,0,0
2,18,5,0.400418,0.533736,23.9567,Returning_Visitor,0,0
4,4,5,0.0251695,0.443115,88.7347,Returning_Visitor,1,1
2,5,6,0.548363,0.80206,25.0651,New_Visitor,0,0
4,20,4,0.67887,0.193776,7.13924,New_Visitor,0,0
4,1,10,0.528305,0.826139,85.3617,Returning_Visitor,0,0
0,12,7,0.0930881,0.705547,65.4037,New_Visitor,0,0
4,18,4,0.958263,0.509125,22.7334,New_Visitor,0,0
3,3,9,0.389408,0.174697,39.3801,New_Visitor,1,0
5,16,2,0.945781,0.257104,12.8096,Returning_Visitor,0,0
0,19,1,0.197846,0.00401579,86.0044,Returning_Visitor,0,1
0,8,10,0.75643,0.216171,220.326,New_Visitor,0,1
3,17,3,0.110615,0.845356,39.7034,New_Visitor,1,0
0,10,0,0.825649,0.576987,8.34938,New_Visitor,0,0
2,14,10,0.0310172,0.201236,78.5626,Returning_Visitor,0,1
1,13,3,0.268249,0.508982,95.0919,Returning_Visitor,1,1
4,14,4,0.715102,0.402799,27.5676,Returning_Visitor,0,1
2,5,0,0.821264,0.802018,58.6819,Returning_Visitor,1,0
5,8,1,0.138063,0.31921,46.4918,Returning_Visitor,0,1
4,17,4,0.472031,0.14744,44.7445,Returning_Visitor,1,0
3,1,10,0.53154,0.949343,1.74627,Returning_Visitor,0,0
4,6,5,0.035376,0.751857,16.5842,New_Visitor,0,0
5,2,4,0.879299,0.192658,12.0221,New_Visitor,1,0
2,4,3,0.28228,0.17186,47.0326,Returning_Visitor,0,1
3,2,6,0.685411,0.960095,15.2952,Returning_Visitor,1,0
0,15,0,0.917727,0.483182,82.7707,Returning_Visitor,0,0
4,7,4,0.779299,0.624885,25.3809,Returning_Visitor,0,1
5,1,0,0.092875,0.814315,169.856,Returning_Visitor,1,1
4,4,10,0.920671,0.723785,42.4265,New_Visitor,1,0
4,18,9,0.410805,0.323128,21.2299,New_Visitor,1,0
3,8,9,0.320533,0.233032,7.75892,Returning_Visitor,1,0
5,15,3,0.241452,0.744083,10.5062,Returning_Visitor,1,0
3,12,1,0.973918,0.77347,41.0967,New_Visitor,1,0
2,0,10,0.00879368,0.732297,54.5034,New_Visitor,0,0
4,14,9,0.935802,0.636185,120.451,Returning_Visitor,0,0
2,9,1,0.667727,0.0462416,19.7517,Returning_Visitor,1,0
5,16,6,0.426288,0.0564146,29.6962,Returning_Visitor,0,0
1,6,6,0.345634,0.646532,14.7487,Returning_Visitor,1,1
1,6,0,0.943329,0.946484,97.971,Returning_Visitor,1,0
3,16,1,0.725279,0.0491136,0.676383,Returning_Visitor,0,0
4,0,1,0.58843,0.334982,6.06206,Returning_Visitor,0,0
4,15,9,0.965852,0.0269314,15.9871,Returning_Visitor,0,0
5,13,10,0.80154,0.29054,11.2551,Returning_Visitor,0,1
5,3,0,0.117031,0.0435108,80.3613,New_Visitor,1,1
1,2,6,0.188196,0.943519,37.3909,Returning_Visitor,1,0
3,18,1,0.662357,0.905515,28.5817,Returning_Visitor,0,0
1,12,7,0.822134,0.829438,34.0973,Returning_Visitor,0,0
3,16,7,0.0756126,0.855771,7.09321,New_Visitor,0,0
5,6,9,0.330603,0.0311615,2.01838,Returning_Visitor,0,1
5,1,0,0.311839,0.361906,43.9897,Returning_Visitor,1,0
0,9,4,0.709786,0.482493,11.8933,Returning_Visitor,0,0
2,8,6,0.999095,0.216604,21.6161,Returning_Visitor,0,0
3,12,7,0.83254,0.291143,53.1369,New_Visitor,1,0
0,9,5,0.0944725,0.29835,134.601,New_Visitor,0,1
4,20,2,0.650165,0.419333,70.2046,Returning_Visitor,0,0
0,3,9,0.00832069,0.305466,29.0949,New_Visitor,0,0
2,10,7,0.821274,0.339108,11.3806,Returning_Visitor,1,1
3,9,5,0.248619,0.0201637,94.8066,New_Visitor,0,0
5,18,1,0.217463,0.798,30.5844,Returning_Visitor,0,0
0,5,6,0.517602,0.83712,7.95209,Returning_Visitor,0,0
4,3,0,0.653767,0.0337718,78.6733,Returning_Visitor,0,0
4,18,10,0.498709,0.594294,170.44,New_Visitor,0,0
0,13,6,0.910807,0.0707967,169.131,Returning_Visitor,1,1
4,16,7,0.309029,0.584179,55.4398,Returning_Visitor,1,1
4,1,7,0.497345,0.746425,13.0249,Returning_Visitor,1,1
5,18,0,0.686272,0.201779,32.2295,New_Visitor,1,0
4,18,5,0.425679,0.544925,7.45994,Returning_Visitor,0,0
0,7,7,0.0840886,0.0495824,2.38469,New_Visitor,0,0
3,12,9,0.29244,0.809096,61.8166,Returning_Visitor,0,1
3,5,6,0.660034,0.369271,118.494,Returning_Visitor,0,0
5,18,4,0.336319,0.843862,34.4742,New_Visitor,0,0
1,4,1,0.0085817,0.461006,30.71,Returning_Visitor,0,1
3,6,10,0.515945,0.788357,62.8277,Returning_Visitor,0,0
3,14,3,0.1063,0.368378,5.00753,Returning_Visitor,1,1
1,9,10,0.906495,0.0458156,6.69302,Returning_Visitor,0,1
0,6,1,0.679816,0.535031,31.8022,Returning_Visitor,1,0
3,0,4,0.448171,0.884758,14.674,Returning_Visitor,0,0
0,4,7,0.964882,0.84689,61.2306,New_Visitor,0,1
2,8,4,0.135215,0.802257,15.257,Returning_Visitor,0,0
1,11,1,0.754294,0.516229,74.3474,Returning_Visitor,0,0
3,0,2,0.468335,0.776872,0.566201,New_Visitor,1,0
0,8,2,0.976835,0.244372,35.9173,New_Visitor,0,0
2,7,4,0.502978,0.45189,49.9658,New_Visitor,0,0
3,6,3,0.162454,0.523039,36.1966,New_Visitor,1,0
4,12,0,0.743761,0.854091,19.2524,Returning_Visitor,1,0
2,1,4,0.942096,0.459717,1.43285,Returning_Visitor,0,0
4,19,5,0.535013,0.0248482,20.55,Returning_Visitor,0,0
0,4,2,0.890764,0.527416,145.201,Returning_Visitor,0,0
2,15,3,0.0965302,0.115849,63.8332,Returning_Visitor,0,0
2,10,6,0.38231,0.601695,34.4949,New_Visitor,0,0
0,0,4,0.81629,0.468144,6.65302,Returning_Visitor,0,0
5,8,9,0.98726,0.689576,128.397,Returning_Visitor,0,1
5,19,5,0.800766,0.0736309,66.3993,Returning_Visitor,0,1
2,3,2,0.726629,0.890931,118.9,Returning_Visitor,0,1
1,17,1,0.851923,0.673111,11.2763,Returning_Visitor,0,0
2,13,2,0.186327,0.342156,8.69205,Returning_Visitor,0,1
3,19,6,0.742524,0.0808565,54.4397,Returning_Visitor,1,1
3,18,6,0.588771,0.779265,7.98996,Returning_Visitor,1,0
1,20,6,0.371373,0.176702,150.787,Returning_Visitor,1,1
5,13,2,0.605226,0.094188,32.4188,New_Visitor,0,0
4,2,4,0.257697,0.438603,1.56699,New_Visitor,1,0
2,6,9,0.54273,0.219571,77.3105,Returning_Visitor,0,1
3,9,0,0.325279,0.946683,40.5472,Returning_Visitor,0,1
4,1,1,0.745844,0.554799,14.8451,New_Visitor,1,0
5,18,1,0.335203,0.299645,58.5561,New_Visitor,0,0
3,3,4,0.369074,0.230267,26.6024,New_Visitor,0,0
4,7,6,0.804406,0.760673,11.4757,Returning_Visitor,0,0
2,11,5,0.0538574,0.914848,35.771,New_Visitor,1,0
4,1,3,0.591481,0.716074,77.2579,Returning_Visitor,1,1
2,0,9,0.971676,0.686789,111.534,Returning_Visitor,0,0
3,20,6,0.761386,0.466188,54.8375,Returning_Visitor,0,0
4,1,7,0.981702,0.6821,97.6969,Returning_Visitor,0,0
3,8,3,0.577703,0.619124,84.2705,Returning_Visitor,0,0
1,18,10,0.628841,0.963765,108.721,Returning_Visitor,0,0
5,10,6,0.845152,0.818532,24.7573,Returning_Visitor,0,0
0,0,5,0.160548,0.590322,5.5525,Returning_Visitor,1,0
2,19,8,0.306735,0.615824,92.5888,New_Visitor,1,0
0,15,8,0.925109,0.219728,41.8302,New_Visitor,0,0
2,11,7,0.674083,0.26797,0.401432,Returning_Visitor,1,0
3,2,9,0.92741,0.568804,2.95058,Returning_Visitor,1,0
3,12,2,0.413861,0.464608,15.2905,Returning_Visitor,1,1
0,5,3,0.613993,0.0634274,4.06111,Returning_Visitor,0,0
5,9,7,0.137022,0.526684,53.1951,New_Visitor,1,0
0,12,9,0.367365,0.460053,41.9607,New_Visitor,0,0
3,13,1,0.377206,0.527649,4.02993,Returning_Visitor,0,0
2,11,8,0.362463,0.910255,53.1038,Returning_Visitor,0,1
4,3,4,0.0598251,0.544497,77.6611,Returning_Visitor,0,1
1,6,1,0.419525,0.722113,34.3042,Returning_Visitor,1,0
4,20,10,0.730153,0.3209,117.374,Returning_Visitor,0,1
1,13,9,0.344804,0.489707,48.814,New_Visitor,0,0
5,0,0,0.0954649,0.312773,14.8638,New_Visitor,1,0
1,16,1,0.150413,0.264547,10.3743,New_Visitor,0,0
3,12,6,0.655615,0.73781,154.613,New_Visitor,0,0
1,6,4,0.306559,0.994841,135.101,Returning_Visitor,1,0
5,7,8,0.865409,0.696858,42.1222,Returning_Visitor,0,0
1,0,0,0.711418,0.465705,4.11053,Returning_Visitor,0,0
3,14,0,0.872744,0.937713,82.5787,Returning_Visitor,0,0
2,11,8,0.973835,0.949833,32.9367,New_Visitor,1,0
0,18,7,0.434644,0.941644,0.00761502,New_Visitor,0,0
0,12,10,0.508124,0.722323,134.578,Returning_Visitor,0,0
3,17,4,0.686702,0.116731,59.155,New_Visitor,0,0
2,7,9,0.486405,0.229522,26.8085,Returning_Visitor,1,0
0,15,8,0.0392327,0.640707,24.7893,Returning_Visitor,0,1
3,1,1,0.220955,0.0127836,120.148,Returning_Visitor,0,0
3,4,5,0.723857,0.606927,46.243,Returning_Visitor,1,0
2,13,5,0.336334,0.912852,175.039,Returning_Visitor,0,0
2,3,9,0.402464,0.393158,109.863,New_Visitor,0,1
1,12,7,0.441918,0.47334,101.714,Returning_Visitor,0,1
4,11,9,0.0913657,0.122784,6.48968,New_Visitor,0,0
5,7,9,0.766882,0.506619,35.001,New_Visitor,0,0
4,0,0,0.203024,0.800409,55.9065,Returning_Visitor,1,0
1,3,3,0.912738,0.506299,24.927,Returning_Visitor,0,0
3,12,0,0.455499,0.38574,143.122,New_Visitor,0,0
4,15,3,0.128875,0.993772,66.9131,Returning_Visitor,1,1
1,15,0,0.706659,0.215993,12.1347,New_Visitor,1,0
4,13,4,0.724263,0.313168,24.0184,New_Visitor,1,0
2,11,6,0.987467,0.812676,247.137,Returning_Visitor,0,1
5,14,5,0.93816,0.687454,1.51946,Returning_Visitor,0,0
2,3,5,0.03497,0.33874,7.0031,Returning_Visitor,0,0
0,8,8,0.227932,0.428032,4.91102,Returning_Visitor,1,0
4,11,7,0.575707,0.519794,12.6636,New_Visitor,0,0
4,0,3,0.599053,0.692168,15.5622,New_Visitor,1,0
0,17,10,0.949571,0.902509,22.276,Returning_Visitor,0,0
1,2,0,0.308641,0.627492,59.8532,Returning_Visitor,0,1
0,11,2,0.146609,0.731861,4.33436,New_Visitor,0,0
4,10,7,0.815268,0.64878,14.2951,Returning_Visitor,0,0
4,9,7,0.113747,0.823558,109.332,Returning_Visitor,0,0
3,4,0,0.544233,0.0244021,116.912,Returning_Visitor,0,1
4,17,7,0.0393855,0.149305,31.0042,Returning_Visitor,0,0
0,19,5,0.627887,0.879744,21.1524,Returning_Visitor,0,0
5,20,3,0.35159,0.5953,58.8453,Returning_Visitor,1,0
5,16,1,0.693427,0.0077502,17.4212,New_Visitor,1,0
3,7,1,0.70479,0.382639,32.6293,Returning_Visitor,1,0
0,18,7,0.677902,0.554007,54.7065,New_Visitor,1,0
